,Items,Prices
0,Infinix S5 Pro Forest Green 4gb + 64g,"NGN61,390"
1,"Asus VivoBook Flip 14"" Touch, Intel C","NGN260,000"
2,Elepaq 4.5kva Manual Start Generator ,"NGN77,799"
3,"Tecno Camon 16 (ce7j) -6.8"" Hd+ Dot-i","NGN72,830"
4,Teeling Whiskey - Single M,"NGN20,820"
5,Konka 32 Inches Smart Tv Kdl32mo662a,"NGN69,999"
6,Eagle Fifa 2021 - Playstatio,"NGN16,899"
7,SX-991 Wireless Retractable Cord Fold,"NGN5,500"
8,Polystar 1.5hp Pv-ss12led Split Unit ,"NGN112,999"
9,Carex Alcohol Hand Sanitizer - 100ml ,"NGN1,200"
